name,status,category_id,category_name
Bella,available,1,Dogs
Charlie,unavailable,2,Cats
Max,available,1,Dogs
Luna,available,3,Birds
Rocky,unavailable,1,Dogs
Milo,available,2,Cats
Coco,available,3,Birds
Buddy,unavailable,1,Dogs
Daisy,available,2,Cats
Leo,available,1,Dogs
Lola,unavailable,3,Birds
Toby,available,2,Cats
Sadie,available,1,Dogs
Oscar,unavailable,2,Cats
Chloe,available,3,Birds
Jack,unavailable,1,Dogs
Nala,available,2,Cats
Zeus,available,3,Birds
Bailey,unavailable,1,Dogs
Lucy,available,2,Cats
Bentley,available,1,Dogs
Ruby,unavailable,3,Birds
Duke,available,2,Cats
Zoe,available,1,Dogs
Jasper,unavailable,3,Birds
Penny,available,2,Cats
Finn,available,1,Dogs
Stella,unavailable,3,Birds
Riley,available,2,Cats
Molly,available,1,Dogs
Winston,unavailable,3,Birds
Lily,available,2,Cats
Shadow,available,1,Dogs
Gracie,unavailable,3,Birds
Sam,available,2,Cats
Abby,available,1,Dogs
Bear,unavailable,3,Birds
Maggie,available,2,Cats
Bruno,available,1,Dogs
Rosie,unavailable,3,Birds
Ollie,available,2,Cats
Ellie,available,1,Dogs
Diesel,unavailable,3,Birds
Minnie,available,2,Cats
Moose,available,1,Dogs
Ginger,unavailable,3,Birds
Hunter,available,2,Cats
Pepper,available,1,Dogs
Simba,unavailable,3,Birds
